idTarjeta,Descripcion,Numero,Expire,CVV
tar01,Amex,371902534915085,2027-04-01,509
tar02,Dinners Club,3004272067851811,2029-10-01,725
tar03,Discover,6011950845489533,2031-10-01,141
tar04,Voyager,8699318875384542,2031-11-01,201
tar05,Dinners Club,3884603153241415,2028-01-01,041
tar06,Discover,6011165586919867,2027-10-01,373
tar07,Visa,4485117140865898,2031-11-01,289
tar08,Discover,6011992918890890,2028-04-01,338
tar09,Mastercard,5556507857498332,2027-11-01,639
tar10,EnRoute,2014514411562937,2029-11-01,715
tar11,Mastercard,5322268422813637,2031-01-01,174
tar12,UnionPay,6267532107942838,2029-11-01,684
tar13,Mastercard,552482477662047,2030-04-01,869
tar14,Mastercard,5550228223839598,2030-08-01,192
tar15,Mastercard,5243307561340071,2026-11-01,244
tar16,Amex,348170309720482,2030-03-01,131
tar17,Visa,4010012696058044,2025-02-01,246
tar18,Visa,4258223232482421,2024-10-01,775
tar19,Mastercard,5575646634228682,2027-05-01,676
tar20,Visa,4514513806146760,2029-07-01,257
tar21,Visa,4916133018253959,2028-07-01,281
tar22,Amex,349942690394229,2029-05-01,633
tar23,Dinners Club,3818400632344873,2029-07-01,631
tar24,Mastercard,5449511740877497,2031-11-01,455
tar25,Visa,4338228761005604,2025-06-01,150
tar26,Mastercard,5369635930955395,2030-04-01,749
tar27,Mastercard,5573638246737590,2028-10-01,421
